Date,Open,High,Low,Close,Volume_n,Volume_m,return,PE
1998/1/3,13.16,13.34,12.99,13.22,"10,838","1,233,025",1.7857,31.93
1998/1/5,13.22,13.22,12.93,12.99,"9,044","1,018,862",-1.7544,31.37
1998/1/6,12.87,13.1,12.76,13.1,"8,670","965,629",0.8929,31.65
1998/1/7,13.05,13.22,12.87,12.93,"9,058","1,017,402",-1.3274,31.23
1998/1/8,12.87,13.05,12.81,12.87,"12,049","1,344,431",-0.4484,31.09
1998/1/9,12.7,12.87,12.35,12.58,"31,533","3,416,694",-2.2523,30.39
1998/1/12,12,12.12,11.71,11.71,"38,343","3,912,679",-6.9124,28.29
1998/1/13,11.83,11.94,11.6,11.71,"26,573","2,697,820",0,28.29
1998/1/14,12.41,12.52,12.12,12.52,"29,099","3,106,705",6.9307,30.25
1998/1/15,12.76,12.99,12.58,12.64,"25,056","2,754,674",0.9259,30.53
1998/1/16,12.58,12.99,12.47,12.52,"26,117","2,872,652",-0.9174,30.25
1998/1/17,12.76,13.1,12.7,12.81,"17,420","1,938,542",2.3148,30.95
1998/1/19,12.99,12.99,12.58,12.58,"19,662","2,159,688",-1.81,30.39
1998/1/20,12.7,13.1,12.64,12.99,"23,977","2,656,708",3.2258,31.37
1998/1/21,13.45,13.86,13.28,13.86,"57,907","6,771,189",6.6964,33.47
1998/1/22,13.86,13.92,13.57,13.63,"39,881","4,734,327",-1.6736,32.91
1998/2/2,14.55,14.55,14.55,14.55,"22,611","2,837,680",6.8085,35.15
1998/2/3,15.54,15.54,15.54,15.54,"42,078","5,638,527",6.7729,37.54
1998/2/4,16.41,16.41,15.77,16.24,"97,826","13,567,567",4.4776,39.22
1998/2/5,16.06,16.76,16,16.53,"90,184","12,716,611",1.7857,39.92
1998/2/6,16.24,16.7,15.54,15.95,"86,252","11,958,857",-3.5088,38.52
1998/2/7,16.47,16.53,16,16.47,"72,994","10,268,719",3.2727,39.78
1998/2/9,16.7,17.05,16.24,16.24,"98,962","14,247,328",-1.4085,39.22
1998/2/10,16.35,16.58,16.12,16.47,"60,281","8,523,426",1.4286,39.78
1998/2/11,17.05,17.22,16.82,16.93,"94,245","13,834,336",2.8169,40.9
1998/2/12,17.11,17.63,16.93,17.22,"94,498","14,090,804",1.7123,41.6
1998/2/13,17.4,17.51,16.58,16.58,"84,292","12,318,551",-3.7037,40.06
1998/2/16,16.12,16.93,16.12,16.93,"58,471","8,278,860",2.0979,40.9
1998/2/17,17.28,17.63,17.16,17.4,"123,214","18,510,967",2.7397,42.02
1998/2/18,17.74,17.97,17.51,17.86,"76,565","11,735,814",2.6667,43.14
1998/2/19,18.09,18.55,18.09,18.55,"90,378","14,291,068",3.8961,44.82
1998/2/20,19.02,19.02,18.55,18.67,"79,723","12,913,418",0.625,45.1
1998/2/21,18.67,18.79,18.32,18.55,"45,760","7,313,427",-0.6211,44.82
1998/2/23,18.32,18.44,17.97,18.21,"57,236","8,987,038",-1.875,43.98
1998/2/24,19.37,19.37,18.67,19.13,"113,460","18,761,809",5.0955,46.22
1998/2/25,18.9,19.37,18.9,18.9,"57,874","9,515,505",-1.2121,45.66
1998/2/26,19.37,19.71,19.13,19.6,"82,770","13,899,335",3.681,47.34
1998/2/27,19.95,20.06,19.37,19.37,"67,421","11,459,832",-1.1834,46.78
1998/3/2,19.48,19.6,19.13,19.25,"31,221","5,218,327",-0.5988,46.5
1998/3/3,19.02,19.13,18.55,19.02,"53,700","8,709,292",-1.2048,45.94
1998/3/4,19.13,19.13,17.97,18.21,"66,718","10,734,226",-4.2683,43.98
1998/3/5,17.86,18.09,17.4,17.4,"93,341","14,207,417",-4.4586,42.02
1998/3/6,16.58,17.86,16.58,17.86,"79,728","11,844,070",2.6667,43.14
1998/3/7,18.21,18.21,17.4,17.4,"49,916","7,682,887",-2.5974,42.02
1998/3/9,17.11,17.28,16.82,17.16,"37,606","5,546,949",-1.3333,41.46
1998/3/10,17.51,17.74,17.4,17.63,"37,916","5,741,037",2.7027,42.58
1998/3/11,17.97,18.09,17.74,18.09,"45,522","7,054,128",2.6316,43.7
1998/3/12,18.44,18.44,17.86,17.86,"39,911","6,256,170",-1.2821,43.14
1998/3/13,17.86,18.09,17.74,18.09,"23,047","3,555,190",1.2987,43.7
1998/3/16,18.21,18.67,17.97,18.67,"43,953","6,973,860",3.2051,45.1
1998/3/17,18.9,19.13,18.67,18.67,"51,593","8,415,840",0,45.1
